Off_Tm,Off_Year,Off_PF,Off_Fum_Play,Off_Comp_Pct,Off_TD_PA,Off_INT_PA,Off_NY/A,Off_1D_PA,Off_TD_RA,Off_Y/A,Off_1D_RA,Off_Pass_Pct
GB,2018,376.0,0.010721247563352826,0.6125,0.0390625,0.00625,6.1,0.325,0.042042042042042045,5.0,0.29429429429429427,0.65775950668037
CAR,2018,376.0,0.005934718100890208,0.6714031971580817,0.0497335701598579,0.028419182948490232,6.4,0.3765541740674956,0.040865384615384616,5.1,0.28125,0.575076608784474
NYG,2018,369.0,0.007113821138211382,0.6552315608919382,0.03945111492281304,0.02058319039451115,6.4,0.3567753001715266,0.03672316384180791,4.7,0.20056497175141244,0.6221985058697972
CIN,2018,368.0,0.0042643923240938165,0.6107011070110702,0.04981549815498155,0.023985239852398525,5.7,0.33579335793357934,0.036211699164345405,4.7,0.2562674094707521,0.6015538290788013
PHI,2018,367.0,0.011571841851494697,0.7045075125208681,0.048414023372287146,0.018363939899833055,6.7,0.36894824707846413,0.03015075376884422,3.9,0.23618090452261306,0.600802407221665
MIN,2018,360.0,0.009970089730807577,0.7013201320132013,0.04950495049504951,0.0165016501650165,6.2,0.35973597359735976,0.025210084033613446,4.2,0.18487394957983194,0.6292834890965732
CLE,2018,359.0,0.006842619745845552,0.6149825783972126,0.050522648083623695,0.029616724738675958,6.5,0.32926829268292684,0.0364963503649635,4.6,0.22627737226277372,0.582741116751269
SF,2018,342.0,0.011964107676969093,0.6221804511278195,0.04887218045112782,0.03759398496240601,6.7,0.37781954887218044,0.016548463356973995,4.5,0.23167848699763594,0.5570680628272251
DAL,2018,339.0,0.008806262230919765,0.6755218216318786,0.04174573055028463,0.015180265654648957,6.1,0.349146110056926,0.029612756264236904,4.5,0.25740318906605925,0.5455486542443064
NYJ,2018,333.0,0.01132852729145211,0.5706106870229007,0.03435114503816794,0.03625954198473282,5.6,0.29961832061068705,0.026829268292682926,4.0,0.2048780487804878,0.5610278372591007
DEN,2018,329.0,0.005911330049261084,0.6241496598639455,0.03231292517006803,0.025510204081632654,5.9,0.3078231292517007,0.04580152671755725,4.9,0.272264631043257,0.599388379204893
DET,2018,324.0,0.0068694798822374874,0.6533101045296167,0.03832752613240418,0.020905923344947737,5.8,0.3501742160278746,0.027227722772277228,4.1,0.22524752475247525,0.5869120654396728
MIA,2018,319.0,0.011389521640091117,0.6417582417582418,0.05714285714285714,0.02857142857142857,5.7,0.3362637362637363,0.018867924528301886,4.7,0.20215633423180593,0.5508474576271186
TEN,2018,310.0,0.006382978723404255,0.6704805491990846,0.036613272311212815,0.02745995423340961,6.1,0.35697940503432496,0.03289473684210526,4.4,0.2324561403508772,0.48936170212765956
LV,2018,290.0,0.01407035175879397,0.6870503597122302,0.0341726618705036,0.017985611510791366,6.2,0.35431654676258995,0.023255813953488372,4.2,0.2222222222222222,0.5896076352067868
WAS,2018,281.0,0.004136504653567736,0.6110019646365422,0.03143418467583497,0.029469548133595286,5.5,0.30648330058939094,0.028985507246376812,4.3,0.2318840579710145,0.551462621885157
BUF,2018,269.0,0.008928571428571428,0.5430861723446894,0.026052104208416832,0.04609218436873747,5.2,0.2745490981963928,0.03205128205128205,4.2,0.23076923076923078,0.516028955532575
JAX,2018,245.0,0.015920398009950248,0.6138059701492538,0.027985074626865673,0.024253731343283583,5.3,0.30597014925373134,0.016826923076923076,4.1,0.22115384615384615,0.5630252100840336
ARI,2018,225.0,0.011086474501108648,0.5717171717171717,0.030303030303030304,0.03636363636363636,4.6,0.2767676767676768,0.02535211267605634,3.8,0.2140845070422535,0.5823529411764706
BAL,2019,531.0,0.006578947368421052,0.6568181818181819,0.08409090909090909,0.01818181818181818,6.9,0.3886363636363636,0.03523489932885906,5.5,0.31543624161073824,0.4247104247104247
SF,2019,479.0,0.009881422924901186,0.6924686192468619,0.058577405857740586,0.027196652719665274,7.4,0.40794979079497906,0.04618473895582329,4.6,0.22088353413654618,0.48975409836065575
TB,2019,458.0,0.010128913443830571,0.6063492063492063,0.05238095238095238,0.047619047619047616,7.2,0.3873015873015873,0.03667481662591687,3.7,0.1980440097799511,0.6063522617901829
NO,2019,458.0,0.0019782393669634025,0.7194492254733219,0.06196213425129088,0.010327022375215147,7.0,0.3958691910499139,0.02962962962962963,4.3,0.23950617283950618,0.5892494929006086
KC,2019,451.0,0.010245901639344262,0.65625,0.052083333333333336,0.008680555555555556,7.5,0.3663194444444444,0.042666666666666665,4.2,0.248,0.6056782334384858
DAL,2019,434.0,0.006548175865294668,0.6499162479061976,0.05025125628140704,0.018425460636515914,7.7,0.38358458961474035,0.0400890868596882,4.8,0.267260579064588,0.5707456978967496
NE,2019,420.0,0.005479452054794521,0.6096774193548387,0.04032258064516129,0.014516129032258065,6.1,0.317741935483871,0.03803131991051454,3.8,0.24608501118568232,0.5810684161199625
MIN,2019,407.0,0.012371134020618556,0.6845493562231759,0.055793991416309016,0.017167381974248927,7.1,0.3669527896995708,0.03991596638655462,4.5,0.22268907563025211,0.49469214437367304
SEA,2019,405.0,0.01338432122370937,0.6595744680851063,0.059961315280464215,0.01160541586073501,6.7,0.36750483558994196,0.031185031185031187,4.6,0.2515592515592516,0.5180360721442886
TEN,2019,402.0,0.009483667017913594,0.6629464285714286,0.06473214285714286,0.017857142857142856,7.1,0.3950892857142857,0.04719101123595506,5.0,0.23370786516853934,0.5016797312430011
LA,2019,394.0,0.006635071090047393,0.6281645569620253,0.03481012658227848,0.02689873417721519,6.9,0.3512658227848101,0.04987531172069826,3.7,0.22942643391521197,0.611810261374637
PHI,2019,385.0,0.01358695652173913,0.6378466557911908,0.04404567699836868,0.013050570962479609,5.9,0.35073409461663946,0.03524229074889868,4.3,0.2290748898678414,0.5745079662605436
ATL,2019,381.0,0.009124087591240875,0.6710526315789473,0.04239766081871345,0.021929824561403508,6.4,0.37719298245614036,0.027624309392265192,3.8,0.23204419889502761,0.6539196940726577
HOU,2019,378.0,0.007866273352999017,0.6647940074906367,0.05056179775280899,0.026217228464419477,6.5,0.3801498127340824,0.03917050691244239,4.6,0.25806451612903225,0.5516528925619835
GB,2019,376.0,0.008823529411764706,0.6212914485165794,0.04537521815008726,0.006980802792321117,6.1,0.33158813263525305,0.043795620437956206,4.4,0.21897810218978103,0.5823170731707317
